city,locality,area_sqft,bhk,bathrooms,age_years,floor,total_floors,parking,gym,pool,furnishing,price
Chennai,Anna Nagar,3707,3,3,22,22,24,0,0,0,Unfurnished,20704703
Mumbai,Bandra,1890,4,3,16,5,7,1,0,0,Unfurnished,18891845
Delhi NCR,Faridabad,2920,2,1,15,23,30,1,0,0,Fully Furnished,23224477
Delhi NCR,Greater Noida,1649,3,4,18,1,7,1,0,1,Fully Furnished,14249444
Delhi NCR,Dwarka,2310,2,1,4,11,20,1,0,0,Fully Furnished,18105922
Mumbai,Thane,2530,2,1,22,22,25,1,1,0,Fully Furnished,24326663
Chennai,OMR,1307,3,3,5,20,28,1,0,0,Fully Furnished,8691510
Delhi NCR,Greater Noida,1243,3,3,23,29,34,1,1,0,Semi-Furnished,10385632
Pune,Baner,550,2,2,16,11,16,1,1,0,Semi-Furnished,3867662
Mumbai,Bandra,3708,2,2,15,12,17,1,1,0,Unfurnished,33112695
Mumbai,Bandra,1681,5,5,15,8,16,1,1,0,Semi-Furnished,16855412
Chennai,T Nagar,555,4,4,6,14,21,1,0,0,Semi-Furnished,4980375
Mumbai,Thane,1243,4,4,15,10,17,1,1,0,Semi-Furnished,13360911
Mumbai,Andheri,2975,3,4,8,8,12,0,1,0,Semi-Furnished,28123416
Delhi NCR,Dwarka,942,3,3,22,23,29,1,1,0,Semi-Furnished,7869030
Chennai,Anna Nagar,2434,2,2,5,7,8,1,0,1,Semi-Furnished,13544225
Delhi NCR,Dwarka,2873,1,1,15,29,35,0,1,1,Semi-Furnished,21377334
Delhi NCR,Greater Noida,3187,2,2,8,19,24,1,1,0,Unfurnished,25288478
Chennai,Anna Nagar,2161,3,3,3,27,28,1,1,0,Fully Furnished,12702422
Bangalore,Indiranagar,3376,2,1,21,23,24,1,0,1,Fully Furnished,15972245
Delhi NCR,Greater Noida,579,4,3,5,17,20,1,0,0,Unfurnished,5607068
Pune,Kothrud,3021,2,2,13,10,14,0,0,1,Semi-Furnished,18302027
Pune,Viman Nagar,876,2,2,2,4,5,1,1,1,Semi-Furnished,6789237
Mumbai,Kurla,3466,2,2,22,3,10,1,0,0,Semi-Furnished,33802087
Pune,Wakad,2880,2,3,16,20,22,0,1,1,Semi-Furnished,20372888
Mumbai,Andheri,3746,1,1,10,4,8,1,1,0,Fully Furnished,35515102
Bangalore,Hebbal,940,2,3,23,20,29,0,0,1,Semi-Furnished,5044413
Chennai,Adyar,625,2,3,7,6,14,1,1,0,Unfurnished,4211768
Chennai,Anna Nagar,2217,3,3,7,16,18,0,1,0,Semi-Furnished,14276129
Chennai,T Nagar,718,3,2,24,28,37,1,0,0,Unfurnished,4379526
Pune,Baner,1447,2,2,3,17,18,0,0,0,Semi-Furnished,10061609
Bangalore,HSR Layout,777,3,3,14,22,28,1,1,0,Fully Furnished,5189103
Pune,Hinjewadi,1094,3,2,15,0,3,1,1,0,Semi-Furnished,7657758
Pune,Kothrud,1434,2,1,21,15,16,0,1,1,Unfurnished,9885772
Bangalore,Whitefield,2518,4,4,10,8,16,0,0,0,Semi-Furnished,12231487
Bangalore,Koramangala,640,3,3,6,11,17,0,0,1,Semi-Furnished,4167456
Bangalore,HSR Layout,3393,2,3,17,18,22,1,1,1,Unfurnished,17331677
Bangalore,Hebbal,3555,4,3,5,10,13,1,1,0,Semi-Furnished,19089430
Chennai,OMR,2130,4,5,23,5,7,1,1,0,Semi-Furnished,12407134
Hyderabad,HITEC City,1376,5,6,3,3,8,0,1,1,Semi-Furnished,8636183
Hyderabad,Gachibowli,2229,3,4,4,15,23,1,0,1,Semi-Furnished,12746539
Bangalore,Hebbal,609,2,3,23,2,10,1,0,0,Semi-Furnished,2845322
Hyderabad,Jubilee Hills,1575,2,1,2,7,10,1,0,0,Fully Furnished,10226526
Hyderabad,HITEC City,3160,3,2,5,15,24,1,1,0,Unfurnished,16796369
Bangalore,Indiranagar,3260,5,4,13,28,33,1,1,0,Unfurnished,16166974
Hyderabad,Jubilee Hills,2493,3,3,0,1,8,1,0,0,Fully Furnished,12757552
Pune,Wakad,3890,4,5,19,12,21,1,0,0,Unfurnished,25395688
Mumbai,Andheri,1722,2,2,13,18,25,0,0,0,Fully Furnished,16562757
Mumbai,Powai,1295,2,1,5,23,26,1,1,1,Semi-Furnished,12833483
Bangalore,Whitefield,2529,4,3,2,15,17,1,1,1,Fully Furnished,14404726
Chennai,OMR,1228,3,3,16,18,25,0,1,1,Semi-Furnished,8196859
Bangalore,Indiranagar,3617,5,6,21,7,15,1,1,0,Fully Furnished,19623952
Chennai,Anna Nagar,3052,3,2,13,22,26,1,0,1,Semi-Furnished,18498524
Mumbai,Kurla,2037,2,3,18,1,2,1,1,0,Semi-Furnished,19298724
Bangalore,Koramangala,1540,3,4,23,0,6,1,1,1,Semi-Furnished,9045591
Delhi NCR,Noida Sector 62,814,4,3,6,16,25,1,1,1,Fully Furnished,8513328
Pune,Hinjewadi,3959,3,3,10,17,21,1,1,0,Unfurnished,26738925
Hyderabad,HITEC City,576,2,3,6,6,9,1,1,1,Unfurnished,3887313
Chennai,Anna Nagar,3525,2,2,12,8,14,1,1,0,Semi-Furnished,18765004
Delhi NCR,Faridabad,3446,3,4,23,22,28,1,1,0,Semi-Furnished,25621566
Hyderabad,Madhapur,3942,1,2,22,2,6,1,1,0,Semi-Furnished,19944404
Hyderabad,Gachibowli,3736,3,2,20,23,30,0,1,1,Unfurnished,18799913
Bangalore,Hebbal,2140,2,2,23,23,25,1,0,1,Semi-Furnished,9965855
Hyderabad,Gachibowli,3595,2,3,13,24,25,1,1,1,Semi-Furnished,21386379
Pune,Hinjewadi,1211,4,4,23,10,16,1,1,1,Unfurnished,8847093
Delhi NCR,Noida Sector 62,3606,3,4,10,27,30,1,0,1,Fully Furnished,29916315
Hyderabad,Kondapur,2037,4,4,7,15,18,1,1,0,Fully Furnished,13077624
Bangalore,Whitefield,2367,2,2,11,28,29,0,0,0,Fully Furnished,11860015
Pune,Kothrud,1353,5,4,14,8,10,0,1,1,Semi-Furnished,9717929
Mumbai,Bandra,1661,2,3,9,11,14,1,1,0,Unfurnished,16287880
Delhi NCR,Gurugram,2097,1,2,21,13,14,1,1,0,Semi-Furnished,16111655
Hyderabad,Gachibowli,3256,4,5,1,24,32,0,1,1,Fully Furnished,18893354
Bangalore,HSR Layout,2412,3,4,23,3,9,1,1,0,Unfurnished,12072658
Mumbai,Kurla,764,2,1,12,25,34,1,1,0,Semi-Furnished,7916705
Mumbai,Bandra,832,5,4,9,3,4,1,1,1,Fully Furnished,10030369
Chennai,Anna Nagar,2735,3,4,16,10,14,1,1,0,Fully Furnished,16758403
Pune,Kothrud,1586,5,5,24,1,5,1,1,0,Semi-Furnished,10387972
Hyderabad,Kondapur,1319,3,2,24,23,28,1,0,0,Semi-Furnished,6777258
Bangalore,Hebbal,1802,3,3,21,17,19,1,1,1,Semi-Furnished,8748527
Chennai,T Nagar,2065,2,2,9,2,3,1,0,0,Semi-Furnished,12547262
Pune,Wakad,1694,2,2,21,24,33,1,1,1,Semi-Furnished,11302580
Chennai,Adyar,2026,3,4,5,1,6,1,1,1,Fully Furnished,13813202
Delhi NCR,Gurugram,798,3,2,19,0,8,1,0,1,Unfurnished,6408942
Pune,Baner,2748,1,2,0,4,7,1,1,1,Semi-Furnished,17572874
Pune,Baner,1658,2,2,16,6,10,1,1,1,Semi-Furnished,11644721
Hyderabad,HITEC City,771,2,3,0,19,23,1,0,0,Unfurnished,4494077
Pune,Hinjewadi,1034,4,4,4,3,9,1,1,1,Unfurnished,7726798
Chennai,OMR,3658,3,4,14,26,30,0,0,0,Semi-Furnished,20146864
Pune,Viman Nagar,2578,3,4,22,2,7,1,0,0,Unfurnished,17895236
Hyderabad,Kondapur,1644,5,4,0,5,10,1,1,1,Unfurnished,10909614
Hyderabad,Kondapur,568,3,2,16,11,19,0,1,0,Semi-Furnished,3685296
Delhi NCR,Faridabad,3430,5,5,13,28,37,1,1,0,Semi-Furnished,27062674
Chennai,Velachery,3508,2,2,12,15,23,0,1,1,Unfurnished,19939635
Mumbai,Andheri,1326,2,2,10,7,12,1,1,0,Fully Furnished,13089188
Mumbai,Kurla,3471,2,3,11,10,16,0,1,0,Semi-Furnished,30988177
Pune,Viman Nagar,1669,3,3,5,12,16,1,1,1,Semi-Furnished,12119994
Delhi NCR,Gurugram,1483,4,3,10,13,15,0,0,0,Unfurnished,11662195
Bangalore,Koramangala,3904,3,3,1,26,31,1,1,1,Semi-Furnished,22284059
Pune,Hinjewadi,980,2,2,17,17,18,1,0,0,Semi-Furnished,6773325
Delhi NCR,Gurugram,3834,3,4,11,21,22,1,1,1,Semi-Furnished,28969811
Chennai,Anna Nagar,2840,3,2,22,7,8,0,1,0,Unfurnished,16459294
Chennai,Adyar,2515,2,2,14,0,4,1,1,0,Unfurnished,15298841
Chennai,Anna Nagar,1952,3,2,8,3,8,0,1,0,Semi-Furnished,10913854
Chennai,OMR,2633,4,4,7,16,20,0,0,1,Unfurnished,16394700
Chennai,OMR,1539,4,3,17,29,35,1,0,0,Unfurnished,9294273
Delhi NCR,Greater Noida,3275,3,3,15,19,21,1,0,1,Semi-Furnished,24560441
Delhi NCR,Faridabad,1127,2,2,22,29,34,1,0,0,Unfurnished,8474000
Hyderabad,Jubilee Hills,617,1,2,20,26,32,1,1,1,Unfurnished,3893221
Mumbai,Bandra,2817,3,4,9,24,29,1,1,0,Unfurnished,26922363
Chennai,T Nagar,3966,3,2,11,21,27,0,0,0,Fully Furnished,23678440
Bangalore,HSR Layout,3526,2,1,19,5,13,0,1,1,Unfurnished,18707553
Delhi NCR,Noida Sector 62,3402,2,1,11,4,6,1,1,1,Semi-Furnished,25428815
Bangalore,Koramangala,661,4,3,9,13,20,1,0,1,Semi-Furnished,4565149
Bangalore,Hebbal,3247,4,5,13,18,24,1,1,0,Fully Furnished,17113801
Bangalore,Koramangala,3675,3,2,3,13,21,1,1,1,Fully Furnished,20490283
Hyderabad,Kondapur,2176,2,2,14,1,10,1,0,0,Unfurnished,10377123
Delhi NCR,Noida Sector 62,666,2,2,19,8,16,1,0,1,Unfurnished,5552785
Bangalore,Hebbal,799,2,2,8,24,29,0,1,0,Semi-Furnished,4509902
Chennai,Anna Nagar,2575,3,4,6,6,10,1,0,0,Unfurnished,13820236
Pune,Viman Nagar,3995,2,1,6,17,20,1,0,1,Fully Furnished,25125122
Bangalore,Whitefield,1061,4,4,19,19,28,1,1,0,Semi-Furnished,5859847
Hyderabad,Kondapur,3430,5,5,8,10,17,1,1,1,Fully Furnished,20127350
Delhi NCR,Greater Noida,2703,2,3,23,7,8,1,0,1,Semi-Furnished,21602781
Hyderabad,Madhapur,1847,3,4,9,25,28,0,0,1,Semi-Furnished,10498970
Bangalore,Whitefield,3919,3,4,19,21,24,1,1,0,Semi-Furnished,21704844
Delhi NCR,Noida Sector 62,1644,4,4,12,20,26,0,1,1,Unfurnished,14230309
Pune,Hinjewadi,3199,4,5,5,26,28,0,1,0,Semi-Furnished,23217041
Bangalore,Hebbal,2051,1,1,3,9,13,1,1,1,Fully Furnished,11517058
Hyderabad,Madhapur,3368,2,1,16,17,19,1,0,0,Semi-Furnished,17527553
Mumbai,Thane,1060,3,3,20,16,21,1,0,0,Unfurnished,9721756
Chennai,T Nagar,1687,3,2,13,16,20,0,1,0,Semi-Furnished,10004994
Hyderabad,Madhapur,3633,2,2,2,0,4,1,0,1,Unfurnished,20865455
Delhi NCR,Greater Noida,3911,3,2,0,26,30,1,0,1,Semi-Furnished,32677657
Bangalore,Indiranagar,2189,3,3,17,21,25,1,0,1,Fully Furnished,11459954
Chennai,Anna Nagar,811,2,2,1,3,8,1,0,0,Unfurnished,5100490
Bangalore,Whitefield,2923,4,4,7,10,12,1,1,0,Unfurnished,15646439
Delhi NCR,Gurugram,1869,1,1,15,8,14,1,1,0,Unfurnished,14318570
Bangalore,Hebbal,2697,3,4,3,8,9,1,0,0,Fully Furnished,13853659
Mumbai,Kurla,2411,3,3,18,2,4,1,1,1,Unfurnished,24006200
Chennai,Velachery,3132,2,2,19,5,8,1,1,0,Semi-Furnished,18409628
Chennai,T Nagar,1080,3,4,9,5,7,1,0,0,Unfurnished,7233537
Delhi NCR,Greater Noida,1476,3,4,16,9,12,0,1,1,Semi-Furnished,12902373
Mumbai,Bandra,676,4,5,16,9,17,1,1,1,Unfurnished,7563226
Hyderabad,Madhapur,2901,2,3,20,16,19,1,0,1,Fully Furnished,16245123
Bangalore,HSR Layout,1013,3,4,6,14,15,1,1,0,Semi-Furnished,6082795
Pune,Wakad,2856,3,4,8,24,32,0,1,0,Unfurnished,19593992
Bangalore,Koramangala,618,3,4,6,3,11,1,0,0,Fully Furnished,4306394
Bangalore,Hebbal,2042,4,5,20,21,28,1,1,1,Fully Furnished,11490083
Hyderabad,Gachibowli,1266,1,2,2,9,13,1,1,0,Unfurnished,7352446
Bangalore,HSR Layout,3543,2,3,23,27,32,1,1,0,Unfurnished,18818446
Mumbai,Thane,1472,3,4,11,7,13,1,1,0,Semi-Furnished,15063616
Mumbai,Andheri,1415,2,1,22,0,6,1,0,1,Semi-Furnished,13841954
Chennai,Anna Nagar,3025,4,4,3,23,30,1,1,0,Unfurnished,18612761
Delhi NCR,Dwarka,1937,3,3,16,21,25,1,1,0,Fully Furnished,14740174
Pune,Wakad,1086,3,4,2,16,24,0,1,0,Unfurnished,7476936
Bangalore,HSR Layout,850,4,5,10,11,13,1,1,0,Semi-Furnished,5979626
Bangalore,Koramangala,2029,3,2,7,11,20,1,1,0,Semi-Furnished,11109098
Hyderabad,Jubilee Hills,2742,3,4,1,24,30,1,1,0,Fully Furnished,16863359
Delhi NCR,Dwarka,3758,1,1,24,12,13,0,1,1,Fully Furnished,28133658
Mumbai,Andheri,1973,2,2,13,24,25,0,1,1,Unfurnished,18911965
Pune,Hinjewadi,995,2,2,3,25,33,1,0,1,Unfurnished,7289968
Chennai,T Nagar,3062,3,4,15,13,20,1,0,0,Semi-Furnished,18397644
Mumbai,Andheri,3243,3,2,13,7,10,0,0,1,Semi-Furnished,30085526
Delhi NCR,Gurugram,2370,2,1,6,13,21,0,1,0,Fully Furnished,19269138
Chennai,OMR,772,3,3,9,6,14,0,1,1,Unfurnished,5392954
Hyderabad,Gachibowli,3427,2,2,11,16,23,1,0,1,Semi-Furnished,17537100
Hyderabad,HITEC City,2599,4,3,22,10,15,1,1,0,Unfurnished,14212904
Bangalore,Koramangala,762,1,1,7,0,8,0,0,0,Fully Furnished,4254711
Delhi NCR,Greater Noida,3939,4,4,22,7,12,1,1,1,Semi-Furnished,29217430
Pune,Viman Nagar,2680,3,2,10,12,13,0,0,1,Semi-Furnished,17011809
Chennai,OMR,3541,3,3,19,25,33,0,1,0,Semi-Furnished,21640303
Mumbai,Andheri,3796,2,1,12,23,30,1,0,0,Semi-Furnished,37944523
Delhi NCR,Greater Noida,2857,5,6,11,16,23,1,0,1,Semi-Furnished,24313299
Delhi NCR,Gurugram,2096,2,2,6,23,25,1,0,1,Semi-Furnished,16737685
Hyderabad,Madhapur,2563,3,2,20,23,26,0,1,1,Unfurnished,14855851
Bangalore,Indiranagar,2264,5,5,11,11,14,1,0,1,Semi-Furnished,13594952
Bangalore,Indiranagar,694,4,3,9,25,31,1,1,1,Semi-Furnished,5393542
Chennai,Adyar,2286,3,4,6,15,21,1,0,1,Semi-Furnished,14801790
Hyderabad,Madhapur,1966,5,6,18,9,12,1,0,1,Fully Furnished,12473982
Delhi NCR,Faridabad,2850,3,4,6,28,33,1,1,0,Fully Furnished,22587041
Pune,Baner,1571,2,2,22,15,24,0,0,1,Unfurnished,10651915
Hyderabad,HITEC City,2270,2,3,17,29,36,1,1,1,Semi-Furnished,12503945
Chennai,T Nagar,1644,2,2,23,27,36,1,0,0,Unfurnished,9861660
Chennai,Anna Nagar,2022,2,3,22,2,4,1,1,0,Semi-Furnished,10946510
Hyderabad,Jubilee Hills,1331,3,3,24,0,1,0,0,1,Semi-Furnished,7259797
Chennai,T Nagar,1061,3,4,11,18,20,1,1,0,Unfurnished,7877078
Hyderabad,Jubilee Hills,540,1,1,3,23,29,1,1,0,Semi-Furnished,3855683
Mumbai,Andheri,1979,4,3,24,29,36,0,1,1,Fully Furnished,19589829
Hyderabad,Gachibowli,3081,2,2,0,7,15,1,1,0,Unfurnished,16543691
Hyderabad,Madhapur,870,5,6,4,15,21,1,1,0,Unfurnished,5700919
Chennai,T Nagar,1705,5,6,9,27,33,1,1,1,Fully Furnished,11590511
Chennai,OMR,3064,4,3,6,14,17,0,1,0,Semi-Furnished,16943214
Bangalore,Hebbal,1156,4,5,19,6,15,1,0,0,Semi-Furnished,6238294
Bangalore,Hebbal,1089,2,3,6,1,3,0,1,0,Semi-Furnished,5819014
Mumbai,Thane,730,3,3,24,12,17,0,0,1,Unfurnished,6955303
Bangalore,Koramangala,1308,2,1,12,4,7,0,0,0,Unfurnished,6597809
Hyderabad,Gachibowli,1871,2,3,13,9,10,0,0,0,Unfurnished,10135156
Chennai,Velachery,978,3,4,4,7,9,1,1,0,Unfurnished,5950285
Bangalore,Hebbal,1732,1,1,20,12,18,1,1,0,Unfurnished,8494644
Bangalore,Indiranagar,3222,5,5,1,18,19,1,0,1,Fully Furnished,17708570
Mumbai,Bandra,2825,4,4,13,5,7,1,0,1,Semi-Furnished,26188627
Delhi NCR,Greater Noida,2272,2,2,20,17,22,1,1,0,Unfurnished,17727488
Mumbai,Powai,2600,3,4,7,7,8,1,1,1,Semi-Furnished,25870755
Hyderabad,Gachibowli,2384,3,4,19,8,12,0,1,0,Fully Furnished,14051162
Chennai,Velachery,1533,4,5,1,16,21,1,1,0,Unfurnished,9673324
Mumbai,Andheri,2262,3,3,7,3,8,1,1,0,Fully Furnished,21591306
Bangalore,Whitefield,1247,2,3,19,21,26,1,1,1,Semi-Furnished,6866003
Chennai,Velachery,963,2,1,4,29,38,0,0,0,Semi-Furnished,6273434
Chennai,T Nagar,1253,2,1,11,17,26,0,1,1,Semi-Furnished,8297032
Bangalore,Koramangala,2340,5,6,6,5,10,1,0,0,Semi-Furnished,12398235
Mumbai,Bandra,1082,2,2,20,10,16,0,0,0,Semi-Furnished,10297734
Bangalore,HSR Layout,2705,1,1,12,22,30,1,0,1,Fully Furnished,14553940
Delhi NCR,Greater Noida,518,4,5,14,21,28,0,0,0,Fully Furnished,5393827
Chennai,Anna Nagar,554,4,3,9,9,15,1,1,1,Semi-Furnished,4936539
Pune,Hinjewadi,2250,4,3,3,25,29,1,0,1,Fully Furnished,17022428
Pune,Hinjewadi,1220,3,2,15,10,13,1,1,0,Fully Furnished,8831627
Hyderabad,Gachibowli,3592,3,2,6,7,11,0,1,1,Semi-Furnished,18304510
Bangalore,HSR Layout,3853,3,4,12,20,23,0,1,1,Semi-Furnished,19822287
Bangalore,Hebbal,3308,1,1,3,2,10,0,0,1,Semi-Furnished,15345648
Hyderabad,Madhapur,2063,3,4,11,1,7,1,1,0,Unfurnished,10590560
Hyderabad,Gachibowli,3566,1,1,19,17,23,0,1,1,Semi-Furnished,18449772
Hyderabad,HITEC City,3988,2,1,1,1,2,1,1,1,Semi-Furnished,21491154
Chennai,Adyar,3355,4,3,4,25,30,0,1,1,Unfurnished,19149137
Delhi NCR,Gurugram,3270,2,3,7,11,19,1,1,0,Unfurnished,24402717
Bangalore,Indiranagar,2832,4,3,3,4,6,1,1,1,Unfurnished,13938892
Chennai,Anna Nagar,2055,2,1,1,25,28,0,0,1,Fully Furnished,11488059
Hyderabad,Jubilee Hills,3058,2,2,24,3,12,0,0,0,Unfurnished,14037617
Bangalore,Koramangala,3569,3,2,5,15,19,1,1,1,Semi-Furnished,17075730
Chennai,OMR,1919,3,3,2,13,18,1,1,1,Unfurnished,13165033
Delhi NCR,Greater Noida,2667,3,4,13,1,8,0,0,1,Unfurnished,20721287
Chennai,Anna Nagar,2644,4,3,9,20,25,1,0,0,Fully Furnished,15100278
Delhi NCR,Noida Sector 62,2667,1,1,10,6,8,1,0,1,Fully Furnished,21465403
Hyderabad,Gachibowli,2060,4,4,4,20,27,1,1,1,Semi-Furnished,12105841
Delhi NCR,Gurugram,1676,2,2,21,10,16,1,1,1,Fully Furnished,14136632
Bangalore,HSR Layout,1768,4,3,15,23,32,1,1,0,Fully Furnished,10412045
Hyderabad,Madhapur,2295,2,3,8,11,13,0,1,0,Unfurnished,12774271
Bangalore,Koramangala,2940,4,4,20,21,23,1,1,0,Semi-Furnished,14206587
Pune,Kothrud,1666,3,2,15,28,36,0,1,1,Fully Furnished,11373326
Mumbai,Thane,3341,2,2,8,24,25,1,0,1,Semi-Furnished,31586886
Delhi NCR,Greater Noida,2370,4,5,16,25,33,1,1,0,Fully Furnished,20054479
Mumbai,Bandra,2767,2,2,11,4,9,1,0,0,Semi-Furnished,27363204
Mumbai,Powai,3386,2,1,14,23,24,1,0,0,Unfurnished,32922085
Delhi NCR,Gurugram,659,4,4,9,15,16,1,0,1,Semi-Furnished,6731157
Hyderabad,Madhapur,3647,2,3,3,29,35,1,0,0,Semi-Furnished,20660279
Pune,Viman Nagar,3158,2,1,16,21,23,1,1,0,Semi-Furnished,19920536
Bangalore,Whitefield,1138,3,2,17,6,8,1,0,0,Unfurnished,5698046
Chennai,Velachery,1555,4,3,17,27,28,0,1,1,Unfurnished,9207754
Bangalore,Hebbal,3324,2,1,9,7,8,1,1,0,Fully Furnished,18023562
Chennai,T Nagar,833,3,4,10,3,7,1,1,1,Semi-Furnished,5683119
Bangalore,HSR Layout,1391,3,2,20,3,8,1,0,0,Unfurnished,6826225
Delhi NCR,Gurugram,3487,4,5,0,26,30,1,1,0,Unfurnished,27285799
Pune,Wakad,2516,4,5,9,5,11,0,1,0,Unfurnished,17509039
Chennai,T Nagar,851,3,3,2,1,9,1,0,0,Unfurnished,5712750
Hyderabad,Jubilee Hills,1862,3,3,5,8,10,1,1,0,Fully Furnished,11572009
